Codigo,Nome da Estação,UF,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Ano
83741,Ecologia Agrícola,RJ,202.4,153.2,160.5,96.7,53.8,39.5,29.2,41.8,59.1,107.2,135.5,195.6,1274.3
83792,Engenho de Dentro,RJ,161.9,146.9,131.8,96.5,97.1,33.9,44.6,41.2,47.1,90.2,107.9,166.2,1165.4
83758,Ilha Guaíba,RJ,177.7,124.4,143.6,161.7,87.5,48.7,55.6,56.5,105.1,114.5,152.0,208.7,1436.0
83695,Itaperuna,RJ,158.7,85.8,106.7,92.9,43.0,24.4,31.3,26.2,49.8,114.7,198.4,203.1,1134.9
83793,Jacarepaguá,RJ,173.9,170.9,153.1,107.6,82.6,41.5,45.9,56.6,58.2,102.7,121.7,191.4,1306.0
83796,Jardim Botânico,RJ,179.8,219.3,193.7,158.2,128.8,82.1,110.8,85.2,94.1,147.5,158.1,178.9,1736.5
83745,Nova Friburgo,RJ,232.1,165.2,154.6,61.4,39.8,32.3,24.7,23.7,52.4,86.3,186.1,221.2,1279.8
83791,Penha,RJ,184.5,168.6,117.3,91.2,58.5,33.0,38.6,38.9,36.2,86.9,116.2,184.1,1154.0
83754,Pinheiral,RJ,270.2,221.0,181.2,62.1,41.0,25.6,22.7,37.6,36.5,124.8,149.5,227.5,1399.7
83757,Piraí,RJ,214.0,158.4,130.2,80.9,43.8,32.9,28.8,31.5,46.9,111.4,152.5,209.5,1240.8
83738,Resende,RJ,279.0,208.7,213.9,102.5,40.4,29.2,20.0,30.0,58.8,131.1,177.7,261.1,1552.5
83743,Rio de Janeiro,RJ,137.1,130.4,135.8,94.9,69.8,42.7,41.9,44.5,53.6,86.5,97.8,134.2,1069.4
83696,Santa Maria Madalena,RJ,235.2,144.2,103.7,80.1,62.7,57.7,50.2,35.9,84.9,121.2,194.3,218.2,1388.3
83798,Santa Teresa,RJ,170.5,149.4,150.5,155.4,116.5,55.8,81.1,86.0,74.4,122.3,125.7,164.5,1452.0
83802*,São Bento (Duque de Caxias),RJ,220.2,142.1,140.9,98.5,56.9,31.7,32.8,44.5,48.6,105.2,139.6,208.3,1269.2
83806,Teresópolis - P. Nacional,RJ,401.9,322.6,263.3,226.3,120.7,69.8,83.4,101.3,143.7,264.5,351.5,425.4,2774.3
83763,Tinguá,RJ,327.1,232.0,232.0,135.3,83.0,56.2,58.0,70.0,106.0,171.6,215.5,313.5,2000.3
83742,Vassouras,RJ,249.4,159.7,149.7,69.2,35.3,29.8,23.3,28.3,65.5,113.8,159.7,246.2,1329.8
83764,Xerém,RJ,421.5,350.4,285.9,163.9,104.5,64.6,104.4,100.6,104.2,229.0,268.6,-,-
82590,Apodí,RN,61.4,110.2,238.0,201.5,121.7,64.8,54.3,6.4,4.4,3.5,3.1,23.7,893.0
82596,Ceará Mirim,RN,57.8,128.1,208.7,200.3,192.2,175.8,166.1,69.2,59.4,31.4,25.2,29.6,1343.8
82693,Cruzeta,RN,55.1,119.4,162.6,192.4,66.3,28.0,30.2,6.3,5.6,2.7,8.8,27.3,704.7
82691,Florânia,RN,63.3,126.3,225.6,207.7,111.7,35.4,39.9,6.5,3.3,11.3,9.6,32.9,873.5
82594,Macau,RN,29.7,64.8,120.0,134.5,73.8,35.5,26.7,5.7,4.8,0.8,2.6,8.3,507.2
82591*,Mossoró,RN,69.3,130.1,169.2,179.6,109.5,49.4,39.9,11.1,5.9,3.4,3.2,17.3,787.9
82598,Natal,RN,54.6,87.3,195.8,264.7,239.6,202.2,196.9,112.6,59.1,17.1,14.7,20.8,1465.4
82825,Porto Velho,RO,320.9,316.0,273.9,251.0,126.6,49.6,24.2,36.4,119.9,192.7,225.2,319.1,2255.4
82024,Boa Vista,RR,25.1,18.1,30.9,88.5,213.0,321.3,267.8,188.0,99.4,63.5,60.8,44.0,1420.4
83931,Alegrete,RS,135.0,137.9,160.4,125.5,130.9,93.9,115.2,90.8,130.2,158.4,87.9,126.1,1492.2
83980,Bagé,RS,107.5,113.9,105.6,83.3,87.5,96.1,136.0,109.0,134.1,132.1,95.7,99.1,1299.9
83941,Bento Gonçalves,RS,143.8,133.1,137.1,92.7,106.0,152.8,158.6,173.5,171.1,153.2,116.2,145.7,1683.7
83919,Bom Jesus,RS,192.6,198.2,173.8,91.7,134.6,135.5,157.7,206.3,160.5,118.7,115.5,122.2,1807.3
83959,Caçapava do Sul,RS,138.4,110.7,174.7,91.6,98.1,152.7,177.0,-,176.6,175.5,-,135.4,-
83963,Cachoeira do Sul,RS,127.6,111.2,121.1,83.6,93.3,138.6,145.3,157.4,148.4,124.9,112.1,113.7,1477.1
83942,Caxias do Sul,RS,164.4,146.9,161.2,100.2,122.8,139.8,163.5,185.4,178.6,169.6,122.6,168.1,1823.0
83912,Cruz Alta,RS,119.7,136.3,126.5,119.5,108.1,116.3,139.7,171.0,169.6,144.5,124.6,154.8,1630.7
83964,Encruzilhada do Sul,RS,125.6,136.8,127.8,73.4,94.3,159.1,168.6,164.9,141.0,125.2,101.3,92.9,1510.8
83915,Guaporé,RS,149.4,151.0,142.3,87.9,83.4,142.9,126.5,176.5,220.6,157.6,147.1,173.6,1758.7
83881,Iraí,RS,172.4,150.8,134.3,114.0,147.1,159.3,123.2,159.6,179.2,174.2,154.8,137.9,1806.7
83929,Itaqui,RS,115.2,144.3,186.5,110.8,112.5,82.9,65.9,122.5,102.6,128.0,91.1,107.1,1369.4
83916,Lagoa Vermelha,RS,167.3,145.0,144.6,90.9,107.1,120.4,122.1,194.3,191.4,158.0,112.1,137.9,1691.1
83885,Marcelino Ramos,RS,155.3,128.9,155.9,132.1,91.1,141.2,95.0,-,202.5,153.1,122.8,174.0,-
83880,Palmeira das Missões,RS,138.5,137.3,128.4,130.9,135.3,123.3,143.0,196.0,189.2,157.6,125.6,142.9,1747.8
83914,Passo Fundo,RS,149.7,165.8,134.9,99.7,114.3,133.6,161.8,187.8,197.7,152.9,131.7,173.2,1803.1
83967,Porto Alegre,RS,105.9,99.2,104.7,77.3,90.0,138.4,118.5,137.1,142.2,121.3,92.4,93.4,1320.2
83995,Rio Grande,RS,112.8,100.7,112.6,51.5,86.9,109.6,174.9,126.2,143.2,81.2,74.1,59.9,1233.6
83936,Santa Maria,RS,163.0,127.2,136.2,121.4,127.5,139.3,144.9,142.1,124.3,128.2,120.5,142.2,1616.8
83997,Santa Vitória do Palmar,RS,116.1,117.3,99.0,68.2,101.1,115.1,136.1,105.4,113.3,84.6,83.8,89.0,1228.9
83957,São Gabriel,RS,114.8,102.5,114.6,66.9,84.0,109.5,114.1,125.0,148.4,136.0,93.2,105.0,1313.9
83907,São Luiz Gonzaga,RS,148.5,133.1,159.5,158.3,118.3,180.2,127.0,147.3,157.7,142.4,146.0,152.5,1770.9
83966,Tapes,RS,135.1,131.6,151.9,63.0,62.0,120.5,134.3,122.8,146.4,100.0,78.8,103.5,1349.8
83948,Torres,RS,106.8,154.8,161.4,84.9,84.8,79.3,106.3,159.1,125.2,118.1,90.9,91.6,1363.2
83927,Uruguaiana,RS,159.7,185.6,193.6,158.0,125.2,70.2,108.1,97.0,126.8,158.0,125.7,139.5,1647.4
83918,Vacaria,RS,120.8,127.2,-,75.0,76.1,92.3,159.1,-,176.0,145.4,106.6,138.2,-
83921, Araranguá ,SC,85.4,118.1,151.6,63.0,66.5,67.7,72.3,109.3,157.1,107.3,94.6,66.0,1158.8
83898,Camboriú,SC,187.6,193.9,138.2,108.2,100.0,87.5,148.1,97.3,128.7,141.5,155.5,159.9,1646.5
