--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO  IAG  - SP (OMM: 83004)
Latitude  (graus) : -23.65
Longitude (graus) : -46.61
Altitude  (metros): 800.00
Estação Operante
Inicio de operação: 01/01/1933
Periodo solicitado dos dados: 01/01/1930 a 31/12/2012
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempBulboSeco;TempBulboUmido;TempMaxima;TempMinima;UmidadeRelativa;PressaoAtmEstacao;PressaoAtmMar;DirecaoVento;VelocidadeVentoInsolacao;Nebulosidade;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83004;16/01/1995;1800;;33.5;21.4;;;35;922.3;;32;5;;1;;;;;
83004;17/01/1995;0000;;25.3;20.3;34.6;;64;923.5;;0;0;10.6;1;4.6;26.12;64.75;3.666667;
83004;17/01/1995;1200;0;28.8;21.6;;21;54;924.2;;32;3;;0;;;;;
83004;17/01/1995;1800;;33;21.9;;;39;922.9;;27;5;;4;;;;;
83004;18/01/1995;0000;;23.1;20.9;29.3;;83;925.4;;14;3;4.5;8;3.5;24.02;83.25;1.333333;
83004;18/01/1995;1200;0.4;25.2;21.5;;21.4;73;925.9;;0;0;;9;;;;;
83004;18/01/1995;1800;;27.8;23.4;;;70;923.6;;9;4;;4;;;;;
83004;19/01/1995;0000;;22.1;21.5;31.2;;95;925.1;;0;0;4.2;10;1.3;24.18;76.25;1.333333;
83004;19/01/1995;1200;2.8;25.5;21.4;;19.8;70;926.1;;32;4;;10;;;;;
83004;19/01/1995;1800;;30;22;;;51;923.8;;0;0;;6;;;;;
83004;20/01/1995;0000;;22.2;21.2;31.1;;92;925.8;;0;0;6.8;10;2;24.08;85.25;1;
83004;20/01/1995;1200;7.6;25.4;21.9;;20.3;74;926.8;;0;0;;7;;;;;
83004;20/01/1995;1800;;25.2;22.1;;;77;924.2;;18;3;;10;;;;;
83004;21/01/1995;0000;;21.8;21.2;29.7;;95;924.9;;0;0;5.8;10;1.5;23.1;79;3;
83004;21/01/1995;1200;1;24.9;21.6;;20.3;75;924.2;;27;3;;9;;;;;
83004;21/01/1995;1800;;27.6;21.8;;;61;920.9;;27;4;;8;;;;;
83004;22/01/1995;0000;;20.3;19.1;27.4;;90;922.2;;18;2;4.9;10;1.8;21.28;84.75;3.666667;
83004;22/01/1995;1200;3.6;21;20.2;;18.8;93;922;;23;3;;10;;;;;
83004;22/01/1995;1800;;26.2;21.6;;;68;920.5;;18;5;;9;;;;;
83004;23/01/1995;0000;;19.6;18.3;24.6;;89;922.2;;14;3;0.4;2;1.3;20.88;86.25;1.333333;
83004;23/01/1995;1200;1.8;20.5;19.1;;18.1;88;923.3;;0;0;;10;;;;;
83004;23/01/1995;1800;;23.3;20.9;;;81;922.8;;0;0;;10;;;;;
83004;24/01/1995;0000;;20.6;19.2;29.6;;88;923.9;;18;4;10.8;10;1;22.24;75;2.666667;
83004;24/01/1995;1200;0.6;23.3;18.9;;16.5;67;924.6;;9;4;;3;;;;;
83004;24/01/1995;1800;;27.9;21.7;;;59;922.8;;14;4;;1;;;;;
83004;25/01/1995;0000;;20.9;19.4;33.6;;87;923.4;;0;0;9.5;1;2;24.28;64;1;
83004;25/01/1995;1200;0;24.6;20.6;;17.6;70;924.7;;5;1;;0;;;;;
83004;25/01/1995;1800;;31.9;21;;;38;921.3;;32;2;;6;;;;;
83004;26/01/1995;0000;;22.8;19.4;32.7;;74;922.7;;0;0;6.5;0;3;25.28;77;2.666667;
83004;26/01/1995;1200;0;26.9;22.4;;19.8;69;923.6;;36;3;;6;;;;;
83004;26/01/1995;1800;;28;22.5;;;63;922.2;;14;5;;10;;;;;
83004;27/01/1995;0000;;23.5;22;31.7;;88;924.3;;0;0;5.2;10;2;24.74;84.25;2.666667;
83004;27/01/1995;1200;0;26.9;22.1;;21.7;67;925;;36;3;;6;;;;;
83004;27/01/1995;1800;;22.3;20.6;;;86;921.6;;9;4;;10;;;;;
83004;28/01/1995;0000;;21.7;20.8;27.9;;92;922.9;;27;1;2.6;10;1.7;22.86;86.5;2.666667;
83004;28/01/1995;1200;44.6;23;20.9;;20.4;83;922;;32;3;;10;;;;;
83004;28/01/1995;1800;;24.4;21.6;;;79;920.2;;32;5;;10;;;;;
83004;29/01/1995;0000;;21.5;20.5;26.4;;92;921.1;;0;0;3.4;10;1.2;21.56;87.75;2;
83004;29/01/1995;1200;26.9;21.8;20.4;;18.6;88;922;;0;0;;10;;;;;
83004;29/01/1995;1800;;23.4;21;;;81;920.4;;14;3;;10;;;;;
83004;30/01/1995;0000;;20.5;19.4;28.4;;91;922.4;;9;3;2;10;1;22.54;89.25;1.333333;
83004;30/01/1995;1200;0.3;23.3;20.5;;19.4;78;922.6;;5;2;;10;;;;;
83004;30/01/1995;1800;;23.3;22.2;;;91;920.1;;14;2;;10;;;;;
83004;31/01/1995;0000;;20.8;20.1;29.8;;94;921.6;;0;0;4.7;2;1;22.96;89;1.666667;
83004;31/01/1995;1200;6.9;24.6;21.8;;20;79;922.5;;36;2;;9;;;;;
83004;31/01/1995;1800;;24.3;22.6;;;87;920.5;;18;3;;10;;;;;
83004;01/02/1995;0000;;20.2;19.6;28.9;;95;922;;0;0;4.4;7;1.1;23.64;82.5;1.333333;
83004;01/02/1995;1200;10.6;24.9;21.9;;19.8;78;922.8;;5;2;;6;;;;;
83004;01/02/1995;1800;;27.7;22.1;;;62;919.5;;32;2;;10;;;;;
83004;02/02/1995;0000;;22.3;21.7;29.7;;95;920.8;;0;0;5.1;9;1.2;23.42;81.25;1.166667;
83004;02/02/1995;1200;32.4;24.9;21.7;;20.3;76;920.9;;32;0.5;;7;;;;;
83004;02/02/1995;1800;;28.1;22.2;;;61;919.2;;27;3;;10;;;;;
83004;03/02/1995;0000;;21.1;20.4;22.2;;94;921.8;;0;0;0;10;1.5;20.48;94.5;2.333333;
83004;03/02/1995;1200;54.3;20.8;20.3;;19.8;96;922;;23;4;;10;;;;;
83004;03/02/1995;1800;;21.8;20.6;;;90;922;;18;3;;10;;;;;
83004;04/02/1995;0000;;19.8;19.4;22.1;;96;924.3;;0;0;0;10;0.4;20.52;95.75;1;
83004;04/02/1995;1200;5.1;20.5;19.8;;19.2;94;926.1;;0;0;;10;;;;;
83004;04/02/1995;1800;;21.6;21;;;95;925.4;;0;0;;10;;;;;
83004;05/02/1995;0000;;20.4;20;24.4;;97;926.4;;5;3;0.1;10;0.3;20.98;92.75;0.666667;
83004;05/02/1995;1200;38.2;19.6;19.3;;18.5;97;926.5;;0;0;;10;;;;;
83004;05/02/1995;1800;;23.3;21.8;;;88;923.8;;5;2;;10;;;;;
83004;06/02/1995;0000;;21.2;20.4;21.2;;93;923.7;;0;0;0;9;0.4;19.02;96.5;0;
83004;06/02/1995;1200;46.6;19;18.6;;17.9;96;926.9;;0;0;;10;;;;;
83004;06/02/1995;1800;;20.4;19.9;;;96;925.9;;0;0;;10;;;;;
83004;07/02/1995;0000;;18.5;18.2;18.8;;97;927.9;;0;0;0;10;0.2;18.02;95.5;2;
83004;07/02/1995;1200;29.7;18.7;18.4;;17.2;97;928.2;;0;0;;10;;;;;
83004;07/02/1995;1800;;18.4;17.8;;;95;927.7;;14;3;;10;;;;;
83004;08/02/1995;0000;;17.7;17.2;22.9;;95;928.8;;14;3;0;10;0.3;19.72;91.5;3.666667;
83004;08/02/1995;1200;13;19.5;18.8;;17;94;928.1;;9;3;;10;;;;;
83004;08/02/1995;1800;;22.7;20.2;;;80;925.9;;5;4;;10;;;;;
83004;09/02/1995;0000;;19.6;19.2;23.3;;96;926.4;;5;4;0.2;10;0.5;20.48;97;1.666667;
83004;09/02/1995;1200;26.2;19.5;19.3;;18.8;98;924.4;;5;4;;10;;;;;
83004;09/02/1995;1800;;21.8;21.3;;;96;920.8;;0;0;;10;;;;;
83004;10/02/1995;0000;;20.4;20;29;;97;921.5;;23;1;8;9;0.5;23.06;85;3.333333;
83004;10/02/1995;1200;15;22.9;20.6;;19.4;82;924;;32;6;;9;;;;;
83004;10/02/1995;1800;;24.2;20.8;;;74;922.7;;32;4;;10;;;;;
